"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3, C4, C6, C7","5","22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C2, C5","2","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","C8","1","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"4","D1, D3","2","1N5817","Diode_SMD:D_SOD-323_HandSoldering",""
"5","FB1, FB2, FB3","3","FerriteBead","Inductor_SMD:L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",""
"6","J2","1","Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical",""
"7","J4","1","Conn_01x06_Socket","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical",""
"8","L1","1","33u","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"9","U2","1","LD2981ABU50","Package_TO_SOT_SMD:SOT-89-3",""
"10","U3","1","R-78E5.0-0.5","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT",""
